,UP_INSTNM,Online
0,ABILENECHRISTIANUNIVERSITY,True
1,ABRAHAMLINCOLNUNIVERSITY,True
2,ADAMSSTATEUNIVERSITY,True
3,ADELPHIUNIVERSITY,True
4,ALVERNIAUNIVERSITY,True
5,AMERICANINTERCONTINENTALUNIVERSITY,True
6,AMERICANINTERNATIONALCOLLEGE,True
7,AMERICANNATIONALUNIVERSITY,True
8,AMERICANPUBLICUNIVERSITYSYSTEM,True
9,AMERICANUNIVERSITY,True
10,AMERICANUNIVERSITYMBA,True
11,ANDERSONUNIVERSITYSC,True
12,ANGELOSTATEUNIVERSITY,True
13,ANNAMARIACOLLEGE,True
14,ANTIOCHUNIVERSITYONLINE,True
15,APPALACHIANSTATEUNIVERSITY,True
16,ARCADIAUNIVERSITY,True
17,ARIZONASTATEUNIVERSITY,True
18,ARKANSASSTATEUNIVERSITY,True
19,ASHFORDUNIVERSITY,True
20,AUBURNUNIVERSITY,True
21,AUGUSTANAUNIVERSITYSD,True
22,AUSTINPEAYSTATEUNIVERSITY,True
23,BAKERCOLLEGEONLINE,True
24,BALLSTATEUNIVERSITY,True
25,THEBAPTISTCOLLEGEOFFLORIDA,True
26,BARRYUNIVERSITY,True
27,BAYLORUNIVERSITY,True
28,BELLEVUEUNIVERSITY,True
29,BENEDICTINEUNIVERSITY,True
30,BETHELUNIVERSITYIN,True
31,BETHELUNIVERSITYMN,True
32,BETHELUNIVERSITYTN,True
33,BIOLAUNIVERSITY,True
34,BLUEFIELDCOLLEGE,True
35,BOISESTATEUNIVERSITY,True
36,BOSTONUNIVERSITY,True
37,BOWLINGGREENSTATEUNIVERSITYMAINCAMPUS,True
38,BRADLEYUNIVERSITY,True
39,BRANDEISUNIVERSITY,True
40,BRENAUUNIVERSITY,True
41,BRESCIAUNIVERSITY,True
42,BROOKLINECOLLEGEONLINE,True
43,BRYANCOLLEGEDAYTON,True
44,BRYANUNIVERSITYONLINE,True
45,BRYANTSTRATTONCOLLEGEONLINE,True
46,BUENAVISTAUNIVERSITY,True
47,CALIFORNIABAPTISTUNIVERSITY,True
48,CALIFORNIACOASTUNIVERSITY,True
49,CALIFORNIAINSTITUTEOFADVANCEDMANAGEMENT,True
50,CALIFORNIASTATEUNIVERSITYFULLERTON,True
51,CALIFORNIASTATEUNIVERSITYNORTHRIDGE,True
52,CALIFORNIASTATEUNIVERSITYSANBERNARDINO,True
53,CALIFORNIAUNIVERSITYOFPENNSYLVANIA,True
54,CALVARYUNIVERSITY,True
55,CAMPBELLSVILLEUNIVERSITY,True
56,CANISIUSCOLLEGE,True
57,CAPELLAUNIVERSITY,True
58,CAPITOLTECHNOLOGYUNIVERSITY,True
59,CARLOWUNIVERSITY,True
60,CARNEGIEMELLONUNIVERSITY,True
61,CARRINGTONCOLLEGE,True
62,CARSONNEWMANUNIVERSITY,True
63,CENTRALCHRISTIANCOLLEGEOFKANSAS,True
64,CENTRALMETHODISTUNIVERSITY,True
65,CENTRALMICHIGANUNIVERSITY,True
66,CENTRALWASHINGTONUNIVERSITY,True
67,CHAMBERLAINCOLLEGEOFNURSING,True
68,CHAMINADEUNIVERSITYOFHONOLULU,True
69,CHAMPLAINCOLLEGE,True
70,CHARLESTONSOUTHERNUNIVERSITY,True
71,CHICAGOSCHOOLOFPROFESSIONALPSYCHOLOGYONLINE,True
72,CINCINNATISTATETECHNICALANDCOMMUNITYCOLLEGE,True
73,CITYUNIVERSITYOFSEATTLE,True
74,CLAREMONTGRADUATEUNIVERSITY,True
75,CLARIONUNIVERSITY,True
76,CLARKSONUNIVERSITY,True
77,CLEMSONUNIVERSITY,True
78,CLEVELANDSTATEUNIVERSITY,True
79,COLLEGEOFSAINTELIZABETH,True
80,THECOLLEGEOFSAINTSCHOLASTICA,True
81,COLORADOCHRISTIANUNIVERSITY,True
82,COLORADOMESAUNIVERSITY,True
83,COLORADOSTATEUNIVERSITYFORTCOLLINS,True
84,COLORADOSTATEUNIVERSITYGLOBALCAMPUS,True
85,COLORADOSTATEUNIVERSITYPUEBLO,True
86,COLORADOTECHNICALUNIVERSITYONLINE,True
87,COLUMBIAINTERNATIONALUNIVERSITY,True
88,COLUMBIASOUTHERNUNIVERSITY,True
89,COLUMBIAUNIVERSITYINTHECITYOFNEWYORK,True
90,COLUMBUSSTATEUNIVERSITY,True
91,CONCORDIACOLLEGENEWYORK,True
92,CONCORDIAUNIVERSITYNEBRASKA,True
93,CONCORDIAUNIVERSITYPORTLAND,True
94,CONCORDIAUNIVERSITYTEXAS,True
95,CONCORDIAUNIVERSITYWISCONSIN,True
96,CONCORDIAUNIVERSITYIRVINE,True
97,CORBANUNIVERSITY,True
98,CREIGHTONUNIVERSITY,True
99,CROWNCOLLEGE,True
100,CULVERSTOCKTONCOLLEGE,True
101,CUNYJOHNJAYCOLLEGEOFCRIMINALJUSTICE,True
102,DAKOTASTATEUNIVERSITY,True
103,DALLASBAPTISTUNIVERSITY,True
104,DAVENPORTUNIVERSITY,True
105,DELTASTATEUNIVERSITY,True
106,DEPAULUNIVERSITY,True
107,DESALESUNIVERSITY,True
108,DICKINSONSTATEUNIVERSITY,True
109,DOMINICANUNIVERSITY,True
110,DREXELUNIVERSITY,True
111,DRURYUNIVERSITY,True
112,DUKEUNIVERSITY,True
113,DUQUESNEUNIVERSITY,True
114,EASTCAROLINAUNIVERSITY,True
115,EASTERNILLINOISUNIVERSITY,True
116,EASTERNKENTUCKYUNIVERSITY,True
117,EASTERNMICHIGANUNIVERSITY,True
118,EASTERNNEWMEXICOUNIVERSITYMAINCAMPUS,True
119,EASTERNOREGONUNIVERSITY,True
120,EASTERNUNIVERSITY,True
121,ECPIUNIVERSITYONLINE,True
122,EDINBOROUNIVERSITYOFPENNSYLVANIA,True
123,ELMHURSTCOLLEGE,True
124,EMORYUNIVERSITY,True
125,EMPORIASTATEUNIVERSITY,True
126,EVANGELUNIVERSITY,True
127,EXCELSIORCOLLEGE,True
128,FAIRLEIGHDICKINSONUNIVERSITYMETROPOLITANCAMPUS,True
129,FAULKNERUNIVERSITY,True
130,FAYETTEVILLESTATEUNIVERSITY,True
131,FERRISSTATEUNIVERSITY,True
132,FITCHBURGSTATEUNIVERSITY,True
133,FLORIDAATLANTICUNIVERSITY,True
134,FLORIDAGULFCOASTUNIVERSITY,True
135,FLORIDAINTERNATIONALUNIVERSITY,True
136,FLORIDASTATECOLLEGEATJACKSONVILLE,True
137,FLORIDASTATEUNIVERSITY,True
138,FLORIDATECH,True
139,FONTBONNEUNIVERSITY,True
140,FORTVALLEYSTATEUNIVERSITY,True
141,FRAMINGHAMSTATEUNIVERSITY,True
142,FRANCISCANMISSIONARIESOFOURLADYUNIVERSITY,True
143,FRANCISCANUNIVERSITYOFSTEUBENVILLE,True
144,FRIENDSUNIVERSITY,True
145,FROSTBURGSTATEUNIVERSITY,True
146,FULLSAILUNIVERSITY,True
147,GANNONUNIVERSITY,True
148,GARDNERWEBBUNIVERSITY,True
149,GEORGEMASONUNIVERSITY,True
150,THEGEORGEWASHINGTONUNIVERSITY,True
151,GEORGEWASHINGTONUNIVERSITYENGINEERING,True
152,GEORGETOWNCOLLEGE,True
153,GEORGETOWNUNIVERSITY,True
154,GEORGIACOLLEGESTATEUNIVERSITY,True
155,GEORGIAINSTITUTEOFTECHNOLOGY,True
156,GEORGIASOUTHERNUNIVERSITY,True
