RegionName,State,Metro,County,City,SizeRank,Zri,MoM,QoQ,YoY,ZriRecordCnt
10025,NY,New York-Newark-Jersey City,New York County,New York,0,3458,-0.018728717,-0.037305122,-0.002883506,22563
60657,IL,Chicago-Naperville-Elgin,Cook County,Chicago,1,1922,0.009984235,0.01371308,0.060706402,32530
10023,NY,New York-Newark-Jersey City,New York County,New York,2,3799,-0.022136422,-0.048585024,0.035996728,29247
77494,TX,Houston-The Woodlands-Sugar Land,Harris County,Katy,3,2174,0.009753832,0.024988213,-0.006852444,31733
60614,IL,Chicago-Naperville-Elgin,Cook County,Chicago,4,2223,0.030120482,0.072876448,0.135342186,33465
77449,TX,Houston-The Woodlands-Sugar Land,Harris County,Katy,5,1494,0.003357958,0.008097166,0.034626039,31997
79936,TX,El Paso,El Paso County,El Paso,6,1026,0.005882353,0.008849558,0.034274194,31535
77084,TX,Houston-The Woodlands-Sugar Land,Harris County,Houston,7,1488,0.003371544,0.008813559,0.031185031,26765
10467,NY,New York-Newark-Jersey City,Bronx County,New York,8,1920,0.007874016,0.01910828,0.069637883,7574
11226,NY,New York-Newark-Jersey City,Kings County,New York,9,2144,-0.010613752,-0.03336339,-0.03336339,11209
60640,IL,Chicago-Naperville-Elgin,Cook County,Chicago,10,1609,0,-0.002479851,0.010043942,22637
94109,CA,San Francisco-Oakland-Hayward,San Francisco County,San Francisco,11,4415,-0.005406623,-0.011198208,0.002725414,9585
10016,NY,New York-Newark-Jersey City,New York County,New York,12,3518,-0.029249448,-0.065107627,-0.037746171,27061
78660,TX,Austin-Round Rock,Travis County,Pflugerville,13,1677,0.007207207,0.016979988,0.035185185,23332
37013,TN,Nashville-Davidson--Murfreesboro--Franklin,Davidson County,Nashville,14,1530,0.007905138,0.017287234,0.04010877,22729
11235,NY,New York-Newark-Jersey City,Kings County,New York,15,2191,0.001371115,-0.000456204,-0.006799637,17283
11375,NY,New York-Newark-Jersey City,Queens County,New York,16,2168,-0.005960569,-0.014993185,0.01119403,22764
60647,IL,Chicago-Naperville-Elgin,Cook County,Chicago,17,1873,0.012432432,0.026864035,0.066628702,20342
90250,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,Hawthorne,18,2795,0.001433178,0.004672897,0.024935827,14888
37211,TN,Nashville-Davidson--Murfreesboro--Franklin,Davidson County,Nashville,19,1574,0.005108557,0.011568123,0.02274204,20530
10029,NY,New York-Newark-Jersey City,New York County,New York,20,2779,-0.018021201,-0.040400552,-0.023884791,5819
11201,NY,New York-Newark-Jersey City,Kings County,New York,21,3046,0.002303389,0.003624382,0.057271781,21266
77573,TX,Houston-The Woodlands-Sugar Land,Galveston County,League City,22,1983,0.005068424,0.011218766,0.019013361,26037
60618,IL,Chicago-Naperville-Elgin,Cook County,Chicago,23,1915,0.013227513,0.029569892,0.078873239,20898
78130,TX,San Antonio-New Braunfels,Comal County,New Braunfels,24,1496,0.001338688,0.005376344,0.033863165,21861
77584,TX,Houston-The Woodlands-Sugar Land,Brazoria County,Pearland,25,1914,0.006309148,0.012698413,0.029585799,22789
10011,NY,New York-Newark-Jersey City,New York County,New York,26,4060,-0.032181168,-0.068593714,0.000246366,21685
28269,NC,Charlotte-Concord-Gastonia,Mecklenburg County,Charlotte,27,1433,0.007735584,0.019203414,0.053676471,26248
20002,DC,Washington-Arlington-Alexandria,District of Columbia,Washington,28,2656,0.004538578,0.002264151,0.045257773,18718
78613,TX,Austin-Round Rock,Williamson County,Cedar Park,29,1782,0.013075611,0.029462738,0.037856727,23786
78572,TX,McAllen-Edinburg-Mission,Hidalgo County,Mission,30,1014,-0.023121387,-0.048780488,-0.040681173,20107
30349,GA,Atlanta-Sandy Springs-Roswell,Clayton County,Riverdale,31,1236,0.011456628,0.029142381,0.075718016,24020
79912,TX,El Paso,El Paso County,El Paso,32,1277,0.002354788,0.003930818,0.064166667,20982
94565,CA,San Francisco-Oakland-Hayward,Contra Costa County,Pittsburg,33,2382,0.007188161,0.019255456,0.076366923,22287
90046,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,Los Angeles,34,3895,0,-0.004854369,0.009590461,11104
77433,TX,Houston-The Woodlands-Sugar Land,Harris County,Cypress,35,1793,0.002235886,0.005044843,0.002235886,25016
75052,TX,Dallas-Fort Worth-Arlington,Dallas County,Grand Prairie,36,1650,0.008557457,0.016009852,0.037735849,25215
20009,DC,Washington-Arlington-Alexandria,District of Columbia,Washington,37,2623,0.006523408,0.015092879,0.024209293,16097
37042,TN,Clarksville,Montgomery County,Clarksville,38,1001,0.017276423,0.037305699,0.064893617,26354
73099,OK,Oklahoma City,Canadian County,Yukon,39,1276,0.00393391,0.008695652,0.029032258,25773
11206,NY,New York-Newark-Jersey City,Kings County,New York,40,2593,0.00503876,0.008164852,0.036785286,9003
77429,TX,Houston-The Woodlands-Sugar Land,Harris County,Cypress,41,1802,0.003899721,0.007829978,0.0261959,25928
10462,NY,New York-Newark-Jersey City,Bronx County,New York,42,1688,-0.022582513,-0.050618673,0.060301508,18784
10456,NY,New York-Newark-Jersey City,Bronx County,New York,43,2018,-0.010299166,-0.026061776,0.054336468,3386
77479,TX,Houston-The Woodlands-Sugar Land,Fort Bend County,Sugar Land,44,2292,-0.00087184,-0.006071119,-0.00174216,26650
10003,NY,New York-Newark-Jersey City,New York County,New York,45,3825,-0.039668592,-0.086894247,-0.02820122,20773
60613,IL,Chicago-Naperville-Elgin,Cook County,Chicago,46,1674,0.006009615,0.006009615,0.019488429,25631
63376,MO,St. Louis,Saint Charles County,Saint Peters,47,1487,0.001346801,0.000672948,0.015017065,27618
30044,GA,Atlanta-Sandy Springs-Roswell,Gwinnett County,Lawrenceville,48,1449,0.004158004,0.009052925,0.043196544,23943
77036,TX,Houston-The Woodlands-Sugar Land,Harris County,Houston,49,1316,-0.006042296,-0.017176998,0.017001546,10568
10463,NY,New York-Newark-Jersey City,New York County,New York,50,1949,-0.003069054,-0.005104645,0.019884877,7653
28277,NC,Charlotte-Concord-Gastonia,Mecklenburg County,Charlotte,51,1895,0.017722879,0.039495337,0.032697548,24014
30043,GA,Atlanta-Sandy Springs-Roswell,Gwinnett County,Lawrenceville,52,1589,0.00952986,0.021208226,0.061456246,24497
11212,NY,New York-Newark-Jersey City,Kings County,New York,53,2203,-0.004968383,-0.015198927,0.010087116,6042
